goos: linux
goarch: amd64
pkg: github.com/StevenPG/demos/go-1-27-json-v2/bench
cpu: Intel(R) Xeon(R) Processor @ 2.10GHz
BenchmarkUnmarshal/Document/impl=v1-4    	    9475	    121698 ns/op	 194.89 MB/s	   46576 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v1-4    	   10200	    118903 ns/op	 199.47 MB/s	   46577 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v1-4    	    9867	    120468 ns/op	 196.88 MB/s	   46576 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v1-4    	   10000	    119464 ns/op	 198.54 MB/s	   46576 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v1-4    	    8901	    119220 ns/op	 198.94 MB/s	   46576 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v1-4    	    9900	    119534 ns/op	 198.42 MB/s	   46576 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v1-4    	    9954	    119468 ns/op	 198.53 MB/s	   46575 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v1-4    	   10000	    121150 ns/op	 195.77 MB/s	   46577 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v2-4    	   14461	     82855 ns/op	 286.26 MB/s	   46577 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v2-4    	   13704	     88635 ns/op	 267.59 MB/s	   46576 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v2-4    	   14314	     85134 ns/op	 278.60 MB/s	   46578 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v2-4    	   13666	     89656 ns/op	 264.54 MB/s	   46577 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v2-4    	   13398	     88808 ns/op	 267.07 MB/s	   46577 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v2-4    	   13501	     87555 ns/op	 270.89 MB/s	   46575 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v2-4    	   14144	     84660 ns/op	 280.15 MB/s	   46576 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v2-4    	   14481	     82976 ns/op	 285.84 MB/s	   46576 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v2-4    	   13464	     89741 ns/op	 264.30 MB/s	   46577 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v2-4    	   13986	     86379 ns/op	 274.58 MB/s	   46576 B/op	       8 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v1-4     	    7412	    144346 ns/op	  33.03 MB/s	   47913 B/op	    1273 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v1-4     	    9108	    147707 ns/op	  32.28 MB/s	   47917 B/op	    1273 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v1-4     	    8178	    146756 ns/op	  32.49 MB/s	   47914 B/op	    1273 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v1-4     	    8546	    147229 ns/op	  32.38 MB/s	   47913 B/op	    1273 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v1-4     	    8190	    146234 ns/op	  32.61 MB/s	   47912 B/op	    1273 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v1-4     	    8672	    153909 ns/op	  30.98 MB/s	   47914 B/op	    1273 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v1-4     	    7480	    155770 ns/op	  30.61 MB/s	   47912 B/op	    1273 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v1-4     	    7844	    147831 ns/op	  32.25 MB/s	   47913 B/op	    1273 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v1-4     	    8408	    150784 ns/op	  31.62 MB/s	   47914 B/op	    1273 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v1-4     	    7982	    151357 ns/op	  31.50 MB/s	   47913 B/op	    1273 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v2-4     	   12164	     97200 ns/op	  49.05 MB/s	   42763 B/op	     793 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v2-4     	   12771	     94445 ns/op	  50.48 MB/s	   42762 B/op	     793 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v2-4     	   13188	     90088 ns/op	  52.93 MB/s	   42761 B/op	     793 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v2-4     	   13242	     91592 ns/op	  52.06 MB/s	   42761 B/op	     793 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v2-4     	   12410	     96379 ns/op	  49.47 MB/s	   42761 B/op	     793 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v2-4     	   12518	     96196 ns/op	  49.57 MB/s	   42761 B/op	     793 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v2-4     	   12793	     94725 ns/op	  50.33 MB/s	   42761 B/op	     793 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v2-4     	   12368	     99221 ns/op	  48.05 MB/s	   42760 B/op	     793 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v2-4     	   10000	    100228 ns/op	  47.57 MB/s	   42760 B/op	     793 allocs/op
BenchmarkUnmarshal/Dynamic/impl=v2-4     	   12732	     94275 ns/op	  50.58 MB/s	   42759 B/op	     793 allocs/op
PASS
ok  	github.com/StevenPG/demos/go-1-27-json-v2/bench	238.092s
